timestamp,session_id,file_path,language,typing_speed_wpm,latency_variance_ms,pause_ratio,backspace_rate,idle_ratio,focus_switches,compile_success_rate,session_fragmentation,anxiety_score,risk_level,timestamp_batch,window_focused,keystrokes_total,compile_attempts,survey_reported_stress,survey_reported_difficulty
2026-04-07 11:29:05,0112530043_112535,Unknown,Unknown,22.98,868.87,0.00,78.57,0.01,6,50.00,0.00,40,MODERATE,2026-04-07_1129,FALSE,14,0,4,4
2026-04-07 11:29:35,0112530043_112535,Unknown,Unknown,14.33,1585.93,0.00,57.89,0.72,8,50.00,0.00,50,MODERATE,2026-04-07_1129,FALSE,19,0,4,4
2026-04-07 11:30:05,0112530043_112535,project_02.c,C/C++,7.81,4696.81,0.00,56.25,0.62,11,50.00,0.00,50,MODERATE,2026-04-07_1130,TRUE,32,0,4,4
2026-04-07 11:30:35,0112530043_112535,*project_03.c,C/C++,4.69,7450.40,0.12,52.94,0.36,20,50.00,0.40,65,HIGH,2026-04-07_1130,TRUE,34,0,4,4
2026-04-07 11:31:05,0112530043_112535,project_03.c,C/C++,4.69,7450.40,0.11,52.94,1.00,25,50.00,0.36,65,HIGH,2026-04-07_1131,TRUE,34,0,4,4
2026-04-07 11:31:35,0112530043_112535,*project_01.c,C/C++,4.43,8696.55,0.23,42.11,0.12,27,50.00,0.67,65,HIGH,2026-04-07_1131,TRUE,57,0,4,4
2026-04-07 11:32:05,0112530043_112535,*project_01.c,C/C++,4.32,8818.27,0.21,38.10,0.43,27,50.00,0.61,65,HIGH,2026-04-07_1132,TRUE,63,0,4,4
2026-04-07 11:32:35,0112530043_112535,*project_01.c,C/C++,4.16,8916.94,0.19,36.36,0.92,27,50.00,0.57,65,HIGH,2026-04-07_1132,TRUE,66,0,4,4
2026-04-07 11:33:05,0112530043_112535,*project_01.c,C/C++,3.63,9621.42,0.26,33.78,0.12,27,50.00,0.80,65,HIGH,2026-04-07_1133,TRUE,74,0,4,4
2026-04-07 11:33:35,0112530043_112535,*project_01.c,C/C++,3.42,9865.73,0.24,33.33,0.14,27,50.00,0.75,65,HIGH,2026-04-07_1133,TRUE,78,0,4,4
2026-04-07 11:34:05,0112530043_112535,*project_01.c,C/C++,3.60,6476.44,0.23,30.43,0.04,27,50.00,0.70,65,HIGH,2026-04-07_1134,TRUE,92,0,4,4
2026-04-07 11:34:36,0112530043_112535,*project_01.c,C/C++,3.60,6581.30,0.22,27.18,0.15,27,50.00,0.67,65,HIGH,2026-04-07_1134,TRUE,103,0,4,4
2026-04-07 11:35:06,0112530043_112535,*project_01.c,C/C++,3.37,6514.63,0.21,25.23,0.22,27,50.00,0.63,65,HIGH,2026-04-07_1135,TRUE,111,0,4,4
2026-04-07 11:35:36,0112530043_112535,*project_01.c,C/C++,3.39,4179.01,0.20,26.83,0.06,27,50.00,0.60,65,HIGH,2026-04-07_1135,TRUE,123,0,4,4
2026-04-07 11:36:06,0112530043_112535,*project_01.c,C/C++,3.18,3376.56,0.19,29.23,0.06,27,50.00,0.57,65,HIGH,2026-04-07_1136,TRUE,130,0,4,4
2026-04-07 11:36:36,0112530043_112535,C:\Users\student\Documents\ct_01=0112530043\project_01.exe,Unknown,3.82,3424.13,0.18,31.16,0.23,34,50.00,0.54,65,HIGH,2026-04-07_1136,FALSE,138,0,4,4
2026-04-07 11:37:06,0112530043_112535,C:\Users\student\Documents\ct_01=0112530043\project_01.exe,Unknown,3.82,3424.13,0.17,31.16,1.00,46,50.00,0.52,65,HIGH,2026-04-07_1137,FALSE,138,0,4,4
2026-04-07 11:37:36,0112530043_112535,*project_02.c,C/C++,3.20,7898.45,0.24,31.97,0.02,52,50.00,0.67,65,HIGH,2026-04-07_1137,TRUE,147,0,4,4
2026-04-07 11:38:06,0112530043_112535,*project_02.c,C/C++,3.36,7850.17,0.23,29.81,0.55,52,50.00,0.64,65,HIGH,2026-04-07_1138,TRUE,161,0,4,4
2026-04-07 11:38:36,0112530043_112535,*project_02.c,C/C++,3.58,8445.89,0.22,28.65,0.01,52,50.00,0.61,65,HIGH,2026-04-07_1138,TRUE,171,0,4,4
2026-04-07 11:39:06,0112530043_112535,*project_02.c,C/C++,3.96,8365.27,0.21,27.66,0.07,52,50.00,0.59,65,HIGH,2026-04-07_1139,TRUE,188,0,4,4
