timestamp,session_id,file_path,language,typing_speed_wpm,latency_variance_ms,pause_ratio,backspace_rate,idle_ratio,focus_switches,compile_success_rate,session_fragmentation,anxiety_score,risk_level,timestamp_batch,window_focused,keystrokes_total,compile_attempts,survey_reported_stress,survey_reported_difficulty
2026-05-06 11:40:13,0112510077_113943,Untitled1.c,C/C++,28.65,729.18,0.00,0.00,0.37,11,90.00,0.00,15,LOW,2026-05-06_1140,TRUE,26,0,5,5
2026-05-06 11:40:43,0112510077_113943,*Untitled1.c,C/C++,11.97,2778.44,0.00,8.16,0.09,12,75.00,0.00,25,LOW,2026-05-06_1140,TRUE,49,0,5,5
2026-05-06 11:41:13,0112510077_113943,*Untitled1.c,C/C++,10.75,3030.52,0.00,11.11,0.05,12,60.00,0.00,36,MODERATE,2026-05-06_1141,TRUE,72,0,5,5
2026-05-06 11:41:43,0112510077_113943,*Untitled1.c,C/C++,10.64,3026.03,0.00,10.96,0.99,12,60.00,0.00,36,MODERATE,2026-05-06_1141,TRUE,73,0,5,5
2026-05-06 11:42:13,0112510077_113943,*Untitled1.c,C/C++,10.64,3026.03,0.00,10.96,1.00,12,60.00,0.00,36,MODERATE,2026-05-06_1142,TRUE,73,0,5,5
2026-05-06 11:42:43,0112510077_113943,*Untitled1.c,C/C++,10.64,3026.03,0.00,10.96,1.00,12,60.00,0.00,36,MODERATE,2026-05-06_1142,TRUE,73,0,5,5
2026-05-06 11:43:13,0112510077_113943,*Untitled1.c,C/C++,4.45,16663.65,0.56,10.81,0.08,12,60.00,0.57,71,HIGH,2026-05-06_1143,TRUE,74,0,5,5
2026-05-06 11:43:43,0112510077_113943,*Untitled1.c,C/C++,4.57,16515.98,0.49,10.34,0.13,12,60.00,0.50,70,HIGH,2026-05-06_1143,TRUE,87,0,5,5
2026-05-06 11:44:13,0112510077_113943,*Untitled1.c,C/C++,4.69,16513.15,0.43,9.52,0.18,12,75.00,0.44,60,HIGH,2026-05-06_1144,TRUE,105,0,5,5
2026-05-06 11:44:43,0112510077_113943,*Untitled1.c,C/C++,4.69,16513.15,0.39,9.52,1.00,12,75.00,0.40,60,HIGH,2026-05-06_1144,TRUE,105,0,5,5
2026-05-06 11:45:13,0112510077_113943,*Untitled1.c,C/C++,4.69,16513.15,0.36,9.52,1.00,12,75.00,0.36,60,HIGH,2026-05-06_1145,TRUE,105,0,5,5
2026-05-06 11:45:43,0112510077_113943,*Untitled1.c,C/C++,3.64,18930.77,0.52,9.09,0.58,12,75.00,0.67,60,HIGH,2026-05-06_1145,TRUE,110,0,5,5
