timestamp,session_id,file_path,language,typing_speed_wpm,latency_variance_ms,pause_ratio,backspace_rate,idle_ratio,focus_switches,compile_success_rate,session_fragmentation,anxiety_score,risk_level,timestamp_batch,window_focused,keystrokes_total,compile_attempts,survey_reported_stress,survey_reported_difficulty
2026-06-10 15:13:39,0112530106_151309,C:\Windows\system32\cmd.exe,Unknown,0.00,0.00,0.00,0.00,0.63,0,90.00,0.00,0,LOW,2026-06-10_1513,FALSE,1,0,5,4
2026-06-10 15:14:09,0112530106_151309,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,1,90.00,0.00,0,LOW,2026-06-10_1514,FALSE,1,0,5,4
2026-06-10 15:14:39,0112530106_151309,*Meem 3.c,C/C++,1.39,19574.61,0.63,66.67,0.04,10,50.00,1.00,85,CRITICAL,2026-06-10_1514,TRUE,9,0,5,4
2026-06-10 15:15:09,0112530106_151309,*Meem 2.c,C/C++,2.22,13600.92,0.47,40.00,0.03,13,50.00,1.00,85,CRITICAL,2026-06-10_1515,TRUE,20,0,5,4
2026-06-10 15:15:39,0112530106_151309,*Meem 2.c,C/C++,2.67,11740.13,0.38,29.63,0.60,13,50.00,0.80,85,CRITICAL,2026-06-10_1515,TRUE,27,0,5,4
2026-06-10 15:16:09,0112530106_151309,*Meem 2.c,C/C++,2.94,10242.17,0.32,22.50,0.20,13,50.00,0.67,82,CRITICAL,2026-06-10_1516,TRUE,40,0,5,4
2026-06-10 15:16:39,0112530106_151309,*Meem 2.c,C/C++,3.62,4858.46,0.27,26.67,0.00,13,50.00,0.57,65,HIGH,2026-06-10_1516,TRUE,60,0,5,4
2026-06-10 15:17:09,0112530106_151309,*Meem 2.c,C/C++,4.35,2439.07,0.24,22.89,0.01,13,50.00,0.50,63,HIGH,2026-06-10_1517,TRUE,83,0,5,4
2026-06-10 15:17:39,0112530106_151309,*Meem 2.c,C/C++,6.51,1706.72,0.21,23.36,0.02,13,50.00,0.44,63,HIGH,2026-06-10_1517,TRUE,107,0,5,4
2026-06-10 15:18:10,0112530106_151309,*Meem 2.c,C/C++,6.54,2901.10,0.19,25.22,0.01,13,50.00,0.40,65,HIGH,2026-06-10_1518,TRUE,115,0,5,4
2026-06-10 15:18:40,0112530106_151309,*Meem 2.c,C/C++,8.69,2650.03,0.17,23.78,0.13,13,50.00,0.36,64,HIGH,2026-06-10_1518,TRUE,143,0,5,4
2026-06-10 15:19:10,0112530106_151309,*Meem 2.c,C/C++,8.28,3376.14,0.16,22.58,0.21,13,50.00,0.33,63,HIGH,2026-06-10_1519,TRUE,155,0,5,4
2026-06-10 15:19:40,0112530106_151309,*Meem 2.c,C/C++,7.84,2845.52,0.15,22.41,0.51,13,50.00,0.31,62,HIGH,2026-06-10_1519,TRUE,174,0,5,4
2026-06-10 15:20:10,0112530106_151309,*Meem 2.c,C/C++,7.84,2845.52,0.14,22.41,1.00,13,50.00,0.29,62,HIGH,2026-06-10_1520,TRUE,174,0,5,4
2026-06-10 15:20:40,0112530106_151309,*Meem 2.c,C/C++,6.09,7430.72,0.24,21.43,0.45,13,50.00,0.53,61,HIGH,2026-06-10_1520,TRUE,182,0,5,4
2026-06-10 15:21:10,0112530106_151309,*Meem 2.c,C/C++,5.43,7761.38,0.22,21.43,0.03,13,50.00,0.50,61,HIGH,2026-06-10_1521,TRUE,196,0,5,4
2026-06-10 15:21:40,0112530106_151309,*Meem 2.c,C/C++,5.52,7378.20,0.21,22.01,0.01,13,50.00,0.47,62,HIGH,2026-06-10_1521,TRUE,209,0,5,4
2026-06-10 15:22:10,0112530106_151309,*Meem 2.c,C/C++,4.98,7680.18,0.20,22.07,0.01,13,50.00,0.44,62,HIGH,2026-06-10_1522,TRUE,213,0,5,4
2026-06-10 15:22:40,0112530106_151309,*Meem 2.c,C/C++,4.68,7661.99,0.19,22.48,0.23,13,50.00,0.42,62,HIGH,2026-06-10_1522,TRUE,218,0,5,4
2026-06-10 15:23:10,0112530106_151309,*Meem 2.c,C/C++,4.40,3894.99,0.18,22.27,0.49,13,50.00,0.40,62,HIGH,2026-06-10_1523,TRUE,229,0,5,4
2026-06-10 15:23:40,0112530106_151309,*Meem 2.c,C/C++,4.09,4525.35,0.17,22.08,0.78,13,50.00,0.38,62,HIGH,2026-06-10_1523,TRUE,231,0,5,4
2026-06-10 15:24:10,0112530106_151309,*Meem 2.c,C/C++,3.60,5581.19,0.16,21.16,0.09,13,50.00,0.36,61,HIGH,2026-06-10_1524,TRUE,241,0,5,4
2026-06-10 15:24:40,0112530106_151309,*Meem 2.c,C/C++,3.37,5627.53,0.15,23.08,0.04,13,50.00,0.35,63,HIGH,2026-06-10_1524,TRUE,247,0,5,4
