timestamp,session_id,file_path,language,typing_speed_wpm,latency_variance_ms,pause_ratio,backspace_rate,idle_ratio,focus_switches,compile_success_rate,session_fragmentation,anxiety_score,risk_level,timestamp_batch,window_focused,keystrokes_total,compile_attempts,survey_reported_stress,survey_reported_difficulty
2026-06-10 15:16:59,0112530108_151159,*stringct1.c,C/C++,19.76,1008.51,0.00,0.00,0.23,6,90.00,0.00,25,LOW,2026-06-10_1516,TRUE,23,0,4,3
2026-06-10 15:17:29,0112530108_151159,*stringct1.c,C/C++,11.72,2060.69,0.00,2.27,0.19,6,90.00,0.00,25,LOW,2026-06-10_1517,TRUE,44,0,4,3
2026-06-10 15:17:59,0112530108_151159,*stringct1.c,C/C++,10.46,2220.67,0.00,1.47,0.10,6,90.00,0.00,25,LOW,2026-06-10_1517,TRUE,68,0,4,3
2026-06-10 15:18:29,0112530108_151159,*stringct1.c,C/C++,8.92,2832.38,0.00,1.22,0.02,6,90.00,0.00,25,LOW,2026-06-10_1518,TRUE,82,0,4,3
2026-06-10 15:18:59,0112530108_151159,*stringct1.c,C/C++,8.68,2773.71,0.00,1.16,0.74,6,90.00,0.00,25,LOW,2026-06-10_1518,TRUE,86,0,4,3
2026-06-10 15:19:30,0112530108_151159,*stringct1.c,C/C++,8.68,2773.71,0.00,1.16,1.00,6,90.00,0.00,25,LOW,2026-06-10_1519,TRUE,86,0,4,3
2026-06-10 15:20:00,0112530108_151159,*stringct1.c,C/C++,6.21,8028.33,0.12,0.99,0.25,6,90.00,0.25,40,MODERATE,2026-06-10_1520,TRUE,101,0,4,3
2026-06-10 15:20:30,0112530108_151159,*stringct1.c,C/C++,5.40,8503.93,0.11,0.97,0.26,6,90.00,0.23,40,MODERATE,2026-06-10_1520,TRUE,103,0,4,3
2026-06-10 15:21:00,0112530108_151159,*stringct1.c,C/C++,5.03,8651.31,0.10,0.88,0.54,6,90.00,0.22,40,MODERATE,2026-06-10_1521,TRUE,113,0,4,3
2026-06-10 15:21:30,0112530108_151159,*stringct1.c,C/C++,4.49,9084.30,0.10,0.83,0.40,6,90.00,0.21,40,MODERATE,2026-06-10_1521,TRUE,120,0,4,3
2026-06-10 15:22:00,0112530108_151159,*stringct1.c,C/C++,4.07,9440.67,0.09,0.79,0.17,6,90.00,0.20,25,LOW,2026-06-10_1522,TRUE,126,0,4,3
2026-06-10 15:22:30,0112530108_151159,*stringct1.c,C/C++,4.07,9440.67,0.09,0.79,1.00,6,90.00,0.19,25,LOW,2026-06-10_1522,TRUE,126,0,4,3
2026-06-10 15:23:00,0112530108_151159,*stringct1.c,C/C++,3.43,11457.56,0.16,0.75,0.00,6,90.00,0.36,40,MODERATE,2026-06-10_1523,TRUE,133,0,4,3
2026-06-10 15:23:30,0112530108_151159,*stringct1.c,C/C++,3.44,8886.50,0.15,1.35,0.32,6,90.00,0.35,40,MODERATE,2026-06-10_1523,TRUE,148,0,4,3
2026-06-10 15:24:00,0112530108_151159,*stringct1.c,C/C++,3.17,9946.46,0.20,3.31,0.05,6,90.00,0.50,40,MODERATE,2026-06-10_1524,TRUE,151,0,4,3
2026-06-10 15:24:30,0112530108_151159,*stringct1.c,C/C++,3.10,9555.11,0.19,3.16,0.61,6,90.00,0.48,40,MODERATE,2026-06-10_1524,TRUE,158,0,4,3
2026-06-10 15:25:00,0112530108_151159,*stringct1.c,C/C++,2.82,9973.81,0.18,3.11,0.14,6,90.00,0.46,40,MODERATE,2026-06-10_1525,TRUE,161,0,4,3
2026-06-10 15:25:30,0112530108_151159,*stringct1.c,C/C++,2.79,9573.99,0.18,2.94,0.34,6,90.00,0.44,40,MODERATE,2026-06-10_1525,TRUE,170,0,4,3
2026-06-10 15:26:00,0112530108_151159,*stringct1.c,C/C++,2.59,10089.75,0.21,2.87,0.15,6,90.00,0.57,40,MODERATE,2026-06-10_1526,TRUE,174,0,4,3
2026-06-10 15:26:30,0112530108_151159,*stringct1.c,C/C++,2.52,7888.78,0.20,3.30,0.16,6,90.00,0.55,40,MODERATE,2026-06-10_1526,TRUE,182,0,4,3
2026-06-10 15:27:00,0112530108_151159,*stringct1.c,C/C++,2.72,8096.48,0.19,4.15,0.06,6,90.00,0.53,40,MODERATE,2026-06-10_1527,TRUE,193,0,4,3
2026-06-10 15:27:30,0112530108_151159,*stringct1.c,C/C++,2.71,8085.83,0.19,4.64,0.96,6,90.00,0.52,40,MODERATE,2026-06-10_1527,TRUE,194,0,4,3
2026-06-10 15:28:00,0112530108_151159,*stringct1.c,C/C++,2.53,8973.68,0.22,5.61,0.67,6,75.00,0.62,40,MODERATE,2026-06-10_1528,TRUE,196,0,4,3
2026-06-10 15:28:30,0112530108_151159,*stringct1.c,C/C++,2.55,9673.89,0.25,5.42,0.09,6,75.00,0.73,40,MODERATE,2026-06-10_1528,TRUE,203,0,4,3
2026-06-10 15:29:00,0112530108_151159,stringct1.c,C/C++,2.51,9649.81,0.25,5.29,0.83,7,75.00,0.70,40,MODERATE,2026-06-10_1529,TRUE,208,0,4,3
2026-06-10 15:29:31,0112530108_151159,*stringct1.c,C/C++,2.32,10084.44,0.27,6.13,0.30,8,75.00,0.80,40,MODERATE,2026-06-10_1529,TRUE,212,0,4,3
2026-06-10 15:30:01,0112530108_151159,C:\Users\student\Documents\stringct1.exe,Unknown,2.34,10141.62,0.26,5.96,0.43,13,75.00,0.78,40,MODERATE,2026-06-10_1530,FALSE,218,0,4,3
2026-06-10 15:30:31,0112530108_151159,stringct1.c,C/C++,2.34,10141.62,0.26,5.96,1.00,14,75.00,0.76,40,MODERATE,2026-06-10_1530,TRUE,218,0,4,3
2026-06-10 15:31:01,0112530108_151159,stringct1.c,C/C++,2.34,10141.62,0.25,5.96,1.00,14,75.00,0.74,40,MODERATE,2026-06-10_1531,TRUE,218,0,4,3
2026-06-10 15:31:31,0112530108_151159,*stringct1.c,C/C++,2.02,15916.30,0.32,5.91,0.06,15,75.00,0.82,60,HIGH,2026-06-10_1531,TRUE,220,0,4,3
2026-06-10 15:32:01,0112530108_151159,*stringct1.c,C/C++,2.20,15394.08,0.32,6.49,0.05,15,75.00,0.80,60,HIGH,2026-06-10_1532,TRUE,231,0,4,3
2026-06-10 15:32:31,0112530108_151159,*stringct1.c,C/C++,2.20,15394.08,0.31,6.49,1.00,15,75.00,0.78,60,HIGH,2026-06-10_1532,TRUE,231,0,4,3
2026-06-10 15:33:01,0112530108_151159,*stringct1.c,C/C++,2.02,16485.77,0.34,7.20,0.02,15,75.00,0.86,60,HIGH,2026-06-10_1533,TRUE,236,0,4,3
2026-06-10 15:33:31,0112530108_151159,C:\Users\student\Documents\stringct1.exe,Unknown,2.15,15172.34,0.33,7.57,0.15,19,75.00,0.84,60,HIGH,2026-06-10_1533,FALSE,251,0,4,3
2026-06-10 15:34:01,0112530108_151159,*stringct1.c,C/C++,2.15,15172.34,0.32,7.57,1.00,21,75.00,0.82,60,HIGH,2026-06-10_1534,TRUE,251,0,4,3
2026-06-10 15:34:31,0112530108_151159,*stringct1.c,C/C++,2.12,15354.47,0.34,8.75,0.05,21,75.00,0.89,60,HIGH,2026-06-10_1534,TRUE,263,0,4,3
2026-06-10 15:35:01,0112530108_151159,*stringct1.c,C/C++,2.31,8857.58,0.34,8.36,0.23,21,75.00,0.87,60,HIGH,2026-06-10_1535,TRUE,275,0,4,3
2026-06-10 15:35:31,0112530108_151159,*stringct1.c,C/C++,2.21,8913.47,0.33,8.24,0.25,21,75.00,0.85,60,HIGH,2026-06-10_1535,TRUE,279,0,4,3
2026-06-10 15:36:01,0112530108_151159,*stringct1.c,C/C++,2.18,6258.46,0.32,8.36,0.21,21,75.00,0.83,60,HIGH,2026-06-10_1536,TRUE,287,0,4,3
2026-06-10 15:36:31,0112530108_151159,*stringct1.c,C/C++,2.48,6463.12,0.31,8.00,0.03,21,75.00,0.81,60,HIGH,2026-06-10_1536,TRUE,300,0,4,3
2026-06-10 15:37:01,0112530108_151159,*stringct1.c,C/C++,3.71,3907.94,0.31,7.76,0.17,21,75.00,0.80,60,HIGH,2026-06-10_1537,TRUE,322,0,4,3
2026-06-10 15:37:31,0112530108_151159,*stringct1.c,C/C++,4.74,3426.36,0.30,7.33,0.00,21,75.00,0.78,40,MODERATE,2026-06-10_1537,TRUE,341,0,4,3
2026-06-10 15:38:01,0112530108_151159,stringct1.c,C/C++,4.59,2925.84,0.30,7.14,0.46,22,75.00,0.77,40,MODERATE,2026-06-10_1538,TRUE,350,0,4,3
2026-06-10 15:38:31,0112530108_151159,C:\Users\student\Documents\stringct1.exe,Unknown,5.21,3712.01,0.29,7.16,0.30,27,75.00,0.75,40,MODERATE,2026-06-10_1538,FALSE,363,0,4,3
2026-06-10 15:39:01,0112530108_151159,*stringct2.c,C/C++,6.51,4022.31,0.29,6.74,0.08,30,75.00,0.74,40,MODERATE,2026-06-10_1539,TRUE,386,0,4,3
2026-06-10 15:39:32,0112530108_151159,*stringct2.c,C/C++,7.08,4152.62,0.28,6.60,0.68,30,75.00,0.73,40,MODERATE,2026-06-10_1539,TRUE,394,0,4,3
2026-06-10 15:40:02,0112530108_151159,*stringct2.c,C/C++,6.93,3274.97,0.28,6.92,0.42,30,75.00,0.71,40,MODERATE,2026-06-10_1540,TRUE,419,0,4,3
2026-06-10 15:40:32,0112530108_151159,*stringct2.c,C/C++,6.57,4950.38,0.27,6.91,0.03,30,75.00,0.70,40,MODERATE,2026-06-10_1540,TRUE,434,0,4,3
2026-06-10 15:41:02,0112530108_151159,*stringct2.c,C/C++,5.74,5971.67,0.27,6.80,0.02,30,75.00,0.69,40,MODERATE,2026-06-10_1541,TRUE,441,0,4,3
2026-06-10 15:41:32,0112530108_151159,*stringct2.c,C/C++,7.32,5338.80,0.26,6.85,0.12,30,75.00,0.68,40,MODERATE,2026-06-10_1541,TRUE,467,0,4,3
2026-06-10 15:42:02,0112530108_151159,*stringct2.c,C/C++,6.62,4178.38,0.26,6.60,0.05,30,75.00,0.67,40,MODERATE,2026-06-10_1542,TRUE,485,0,4,3
2026-06-10 15:42:32,0112530108_151159,*stringct2.c,C/C++,6.93,2492.31,0.25,7.16,0.13,30,75.00,0.65,40,MODERATE,2026-06-10_1542,TRUE,503,0,4,3
2026-06-10 15:43:02,0112530108_151159,*stringct2.c,C/C++,6.95,2494.36,0.25,7.18,0.78,30,75.00,0.64,40,MODERATE,2026-06-10_1543,TRUE,515,0,4,3
2026-06-10 15:43:32,0112530108_151159,*stringct2.c,C/C++,8.32,3739.65,0.24,7.66,0.31,30,75.00,0.63,40,MODERATE,2026-06-10_1543,TRUE,535,0,4,3
2026-06-10 15:44:02,0112530108_151159,*stringct2.c,C/C++,8.32,3739.65,0.24,7.66,1.00,30,75.00,0.62,40,MODERATE,2026-06-10_1544,TRUE,535,0,4,3
