timestamp,session_id,file_path,language,typing_speed_wpm,latency_variance_ms,pause_ratio,backspace_rate,idle_ratio,focus_switches,compile_success_rate,session_fragmentation,anxiety_score,risk_level,timestamp_batch,window_focused,keystrokes_total,compile_attempts
2026-05-06 11:18:15,0112520294_111815,C:\Windows\system32\cmd.exe,Unknown,0.00,0.00,0.00,0.00,0.00,0,90.00,0.00,0,LOW,2026-05-06_1118,FALSE,0,0
2026-05-06 11:18:45,0112520294_111815,C:\Windows\system32\cmd.exe,Unknown,0.00,0.00,0.00,0.00,1.00,0,90.00,0.00,0,LOW,2026-05-06_1118,FALSE,0,0
2026-05-06 11:19:15,0112520294_111815,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,2,90.00,0.00,0,LOW,2026-05-06_1119,TRUE,0,0
2026-05-06 11:19:45,0112520294_111815,Unknown,Unknown,10.46,2140.68,0.00,20.00,0.01,5,50.00,0.00,45,MODERATE,2026-05-06_1119,FALSE,20,0
2026-05-06 11:20:15,0112520294_111815,Unknown,Unknown,7.44,3637.35,0.00,15.15,0.00,12,50.00,0.00,40,MODERATE,2026-05-06_1120,FALSE,33,0
2026-05-06 11:20:45,0112520294_111815,ANS TO Q NO 3.c,C/C++,8.31,3264.38,0.00,11.54,0.28,21,60.00,0.00,37,MODERATE,2026-05-06_1120,TRUE,52,0
2026-05-06 11:21:15,0112520294_111815,*ANS TO Q 1 MID.c,C/C++,8.79,2562.17,0.00,16.87,0.00,23,50.00,0.00,42,MODERATE,2026-05-06_1121,TRUE,83,0
2026-05-06 11:21:45,0112520294_111815,*ANS TO Q 1 MID.c,C/C++,9.38,2125.98,0.00,16.30,0.86,23,50.00,0.00,41,MODERATE,2026-05-06_1121,TRUE,92,0
2026-05-06 11:22:15,0112520294_111815,*ANS TO Q 1 MID.c,C/C++,9.38,2125.98,0.00,16.30,1.00,28,50.00,0.00,41,MODERATE,2026-05-06_1122,TRUE,92,0
2026-05-06 11:22:45,0112520294_111815,*ANS TO Q 1 MID.c,C/C++,9.38,2125.98,0.00,16.30,1.00,28,50.00,0.00,41,MODERATE,2026-05-06_1122,TRUE,92,0
2026-05-06 11:23:15,0112520294_111815,*ANS TO Q 1 MID.c,C/C++,9.38,2125.98,0.00,16.30,1.00,28,50.00,0.00,41,MODERATE,2026-05-06_1123,TRUE,92,0
2026-05-06 11:23:45,0112520294_111815,*ANS TO Q 1 MID.c,C/C++,9.38,2125.98,0.00,16.30,1.00,28,50.00,0.00,41,MODERATE,2026-05-06_1123,TRUE,92,0
2026-05-06 11:24:15,0112520294_111815,*ANS TO Q 1 MID.c,C/C++,9.38,2125.98,0.00,16.30,1.00,28,50.00,0.00,41,MODERATE,2026-05-06_1124,TRUE,92,0
