timestamp,session_id,file_path,language,typing_speed_wpm,latency_variance_ms,pause_ratio,backspace_rate,idle_ratio,focus_switches,compile_success_rate,session_fragmentation,anxiety_score,risk_level,timestamp_batch,window_focused,keystrokes_total,compile_attempts
2026-06-06 11:48:11,0112530190_114811,C:\Windows\system32\cmd.exe,Unknown,0.00,0.00,0.00,0.00,0.00,0,90.00,0.00,0,LOW,2026-06-06_1148,FALSE,0,0
2026-06-06 11:48:41,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,2,90.00,0.00,0,LOW,2026-06-06_1148,FALSE,0,0
2026-06-06 11:49:11,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1149,FALSE,0,0
2026-06-06 11:49:41,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1149,FALSE,0,0
2026-06-06 11:50:11,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1150,FALSE,0,0
2026-06-06 11:50:41,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1150,FALSE,0,0
2026-06-06 11:51:11,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1151,FALSE,0,0
2026-06-06 11:51:41,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1151,FALSE,0,0
2026-06-06 11:52:11,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1152,FALSE,0,0
2026-06-06 11:52:41,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1152,FALSE,0,0
2026-06-06 11:53:11,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1153,FALSE,0,0
2026-06-06 11:53:41,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1153,FALSE,0,0
2026-06-06 11:54:11,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1154,FALSE,0,0
2026-06-06 11:54:42,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1154,FALSE,0,0
2026-06-06 11:55:12,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1155,FALSE,0,0
2026-06-06 11:55:42,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1155,FALSE,0,0
2026-06-06 11:56:12,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1156,FALSE,0,0
2026-06-06 11:56:42,0112530190_114811,Unknown,Unknown,0.00,0.00,0.00,0.00,1.00,6,90.00,0.00,0,LOW,2026-06-06_1156,FALSE,0,0
2026-06-06 11:57:12,0112530190_114811,*Q1.c,C/C++,0.00,0.00,0.00,0.00,1.00,7,90.00,0.00,0,LOW,2026-06-06_1157,TRUE,0,0
2026-06-06 11:57:42,0112530190_114811,*Q1.c,C/C++,30.36,443.63,0.00,14.29,0.03,7,60.00,0.00,29,LOW,2026-06-06_1157,TRUE,7,0
2026-06-06 11:58:12,0112530190_114811,*Q1.c,C/C++,24.34,380.80,0.00,16.67,0.93,7,50.00,0.00,32,MODERATE,2026-06-06_1158,TRUE,12,0
2026-06-06 11:58:42,0112530190_114811,*Q1.c,C/C++,24.34,380.80,0.00,16.67,1.00,7,50.00,0.00,32,MODERATE,2026-06-06_1158,TRUE,12,0
2026-06-06 11:59:12,0112530190_114811,*Q1.c,C/C++,24.34,380.80,0.00,16.67,1.00,7,50.00,0.00,32,MODERATE,2026-06-06_1159,TRUE,12,0
2026-06-06 11:59:42,0112530190_114811,*Q1.c,C/C++,2.64,20337.91,0.15,22.22,0.04,7,50.00,0.17,47,MODERATE,2026-06-06_1159,TRUE,27,0
2026-06-06 12:00:12,0112530190_114811,*Q1.c,C/C++,2.70,18693.96,0.14,18.75,0.39,7,50.00,0.17,44,MODERATE,2026-06-06_1200,TRUE,32,0
2026-06-06 12:00:42,0112530190_114811,*Q1.c,C/C++,2.35,18622.20,0.19,16.67,0.01,7,50.00,0.32,57,MODERATE,2026-06-06_1200,TRUE,36,0
2026-06-06 12:01:12,0112530190_114811,*Q1.c,C/C++,2.52,16780.13,0.18,13.33,0.00,7,60.00,0.31,53,MODERATE,2026-06-06_1201,TRUE,45,0
2026-06-06 12:01:42,0112530190_114811,*Q1.c,C/C++,3.26,6508.03,0.18,13.64,0.04,7,60.00,0.30,54,MODERATE,2026-06-06_1201,TRUE,66,0
2026-06-06 12:02:12,0112530190_114811,*Q1.c,C/C++,3.78,3402.90,0.17,15.12,0.05,7,50.00,0.29,55,MODERATE,2026-06-06_1202,TRUE,86,0
2026-06-06 12:02:42,0112530190_114811,*Q1.c,C/C++,3.97,2741.64,0.17,12.38,0.00,7,60.00,0.28,52,MODERATE,2026-06-06_1202,TRUE,105,0
2026-06-06 12:03:13,0112530190_114811,*Q1.c,C/C++,3.66,4250.05,0.16,13.08,0.08,7,60.00,0.27,53,MODERATE,2026-06-06_1203,TRUE,107,0
2026-06-06 12:03:43,0112530190_114811,*Q1.c,C/C++,5.33,3933.11,0.16,14.63,0.71,7,60.00,0.26,55,MODERATE,2026-06-06_1203,TRUE,123,0
2026-06-06 12:04:13,0112530190_114811,*Q1.c,C/C++,4.73,5307.65,0.15,15.50,0.43,7,50.00,0.25,56,MODERATE,2026-06-06_1204,TRUE,129,0
2026-06-06 12:04:43,0112530190_114811,Q1.c,C/C++,4.73,5307.65,0.15,15.50,1.00,14,50.00,0.24,56,MODERATE,2026-06-06_1204,TRUE,129,0
2026-06-06 12:05:13,0112530190_114811,Q1.c,C/C++,3.99,9503.41,0.20,16.79,0.38,18,50.00,0.35,57,MODERATE,2026-06-06_1205,TRUE,131,0
2026-06-06 12:05:43,0112530190_114811,*Q1.c,C/C++,4.15,9690.39,0.19,16.30,0.39,28,50.00,0.34,56,MODERATE,2026-06-06_1205,TRUE,135,0
2026-06-06 12:06:13,0112530190_114811,*Q1.c,C/C++,4.15,9690.39,0.19,16.30,1.00,28,50.00,0.33,56,MODERATE,2026-06-06_1206,TRUE,135,0
2026-06-06 12:06:43,0112530190_114811,*Q1.c,C/C++,3.39,13011.01,0.24,16.18,0.21,28,50.00,0.43,56,MODERATE,2026-06-06_1206,TRUE,136,0
