Timestamp,What is your current year of study?,How would you rate your C/C++ programming experience?,"How anxious do you typically feel during programming tests or exams? (1=Not at all, 5=Extremely)","When you are stuck on a programming problem, do you frequently switch between windows or tabs to search for help?",How often do you compile your code while working to check for errors?,Does your typing become slower or more erratic when you feel stressed during coding?,"How would you rate your ability to stay focused on a coding task under time pressure? (1=Very Poor, 5=Excellent)",Have you previously experienced significant anxiety or stress during a timed programming task?
12/1/2025 13:15:00,1st Year,Intermediate (6-12 months),4,Sometimes,Frequently (after every small block),Sometimes,3,Yes
12/6/2025 10:43:00,2nd Year,Beginner (1-2 months),5,Sometimes,Frequently (after every small block),"Yes, definitely",1,Yes
12/1/2025 15:02:00,3rd Year,Intermediate (6-12 months),4,Sometimes,Very Frequently (after every few lines),"Yes, definitely",1,Yes
12/2/2025 12:32:00,1st Year,Elementary (3-6 months),4,Sometimes,Sometimes (after completing a section),"Yes, definitely",2,Yes
12/5/2025 12:45:00,1st Year,Elementary (3-6 months),3,Sometimes,Frequently (after every small block),Sometimes,2,Yes
12/4/2025 12:28:00,3rd Year,Elementary (3-6 months),4,Sometimes,Sometimes (after completing a section),"Yes, definitely",2,Yes
12/7/2025 9:48:00,2nd Year,Intermediate (6-12 months),4,"Yes, frequently",Very Frequently (after every few lines),Sometimes,2,No
12/3/2025 13:09:00,2nd Year,Intermediate (6-12 months),4,"Yes, frequently",Frequently (after every small block),Sometimes,2,No
12/1/2025 10:24:00,2nd Year,Intermediate (6-12 months),3,"Yes, frequently",Sometimes (after completing a section),"Yes, definitely",2,No
12/3/2025 13:51:00,2nd Year,Intermediate (6-12 months),3,Sometimes,Sometimes (after completing a section),Rarely,3,Yes
12/5/2025 10:59:00,2nd Year,Intermediate (6-12 months),5,Sometimes,Very Frequently (after every few lines),"Yes, definitely",1,Yes
12/5/2025 13:53:00,1st Year,Intermediate (6-12 months),3,Sometimes,Sometimes (after completing a section),Rarely,4,No
12/3/2025 12:45:00,3rd Year,Elementary (3-6 months),4,"Yes, frequently",Sometimes (after completing a section),Sometimes,3,Yes
12/6/2025 12:49:00,1st Year,Beginner (1-2 months),5,"Yes, frequently",Very Frequently (after every few lines),"Yes, definitely",2,Yes
12/2/2025 10:24:00,1st Year,Beginner (1-2 months),4,"Yes, frequently",Frequently (after every small block),"Yes, definitely",1,Yes
12/6/2025 14:10:00,2nd Year,Elementary (3-6 months),5,Sometimes,Very Frequently (after every few lines),"Yes, definitely",1,Yes
12/2/2025 13:44:00,2nd Year,Intermediate (6-12 months),5,"Yes, frequently",Frequently (after every small block),"Yes, definitely",2,Yes
12/5/2025 11:34:00,1st Year,Elementary (3-6 months),5,Sometimes,Very Frequently (after every few lines),Sometimes,1,Yes
12/2/2025 16:24:00,2nd Year,Intermediate (6-12 months),4,Sometimes,Very Frequently (after every few lines),Sometimes,3,Yes
12/2/2025 14:53:00,3rd Year,Proficient (1-2 years),2,Rarely,Sometimes (after completing a section),Rarely,5,No
12/2/2025 9:51:00,1st Year,Beginner (1-2 months),5,Sometimes,Frequently (after every small block),"Yes, definitely",2,Yes
12/3/2025 10:13:00,2nd Year,Intermediate (6-12 months),3,Rarely,Sometimes (after completing a section),Sometimes,3,No
12/2/2025 16:25:00,2nd Year,Elementary (3-6 months),4,"Yes, frequently",Frequently (after every small block),"Yes, definitely",2,Yes
12/2/2025 13:08:00,2nd Year,Elementary (3-6 months),5,"Yes, frequently",Very Frequently (after every few lines),"Yes, definitely",1,Yes
12/5/2025 13:47:00,3rd Year,Elementary (3-6 months),5,Sometimes,Very Frequently (after every few lines),"Yes, definitely",1,Yes
12/5/2025 15:23:00,2nd Year,Beginner (1-2 months),5,"Yes, frequently",Frequently (after every small block),"Yes, definitely",1,Yes
12/5/2025 16:05:00,2nd Year,Intermediate (6-12 months),4,Sometimes,Very Frequently (after every few lines),"Yes, definitely",3,Yes
12/1/2025 11:40:00,1st Year,Elementary (3-6 months),4,"Yes, frequently",Frequently (after every small block),Sometimes,3,Yes
12/5/2025 10:24:00,2nd Year,Intermediate (6-12 months),3,Sometimes,Frequently (after every small block),Sometimes,3,No
12/4/2025 13:35:00,3rd Year,Elementary (3-6 months),5,Sometimes,Very Frequently (after every few lines),Sometimes,1,Yes
12/6/2025 13:49:00,1st Year,Intermediate (6-12 months),4,Sometimes,Frequently (after every small block),"Yes, definitely",1,Yes
12/1/2025 13:27:00,2nd Year,Elementary (3-6 months),5,Sometimes,Very Frequently (after every few lines),Sometimes,2,Yes
12/1/2025 13:32:00,2nd Year,Elementary (3-6 months),4,Sometimes,Sometimes (after completing a section),Sometimes,2,No
12/5/2025 10:55:00,2nd Year,Elementary (3-6 months),4,"Yes, frequently",Very Frequently (after every few lines),Sometimes,1,Yes
12/6/2025 12:09:00,2nd Year,Elementary (3-6 months),4,"Yes, frequently",Sometimes (after completing a section),Sometimes,3,Yes
12/5/2025 9:38:00,2nd Year,Elementary (3-6 months),4,Sometimes,Very Frequently (after every few lines),Sometimes,2,Yes
12/1/2025 10:59:00,2nd Year,Elementary (3-6 months),4,Sometimes,Very Frequently (after every few lines),Sometimes,3,No
12/2/2025 9:15:00,2nd Year,Beginner (1-2 months),4,Sometimes,Frequently (after every small block),"Yes, definitely",1,Yes
12/1/2025 16:52:00,1st Year,Beginner (1-2 months),4,Sometimes,Frequently (after every small block),"Yes, definitely",1,Yes
12/7/2025 11:08:00,3rd Year,Beginner (1-2 months),5,"Yes, frequently",Very Frequently (after every few lines),"Yes, definitely",2,Yes
12/5/2025 11:16:00,2nd Year,Intermediate (6-12 months),4,"Yes, frequently",Very Frequently (after every few lines),Sometimes,3,Yes
12/4/2025 12:59:00,3rd Year,Intermediate (6-12 months),2,Sometimes,Frequently (after every small block),Sometimes,3,No
12/6/2025 13:25:00,2nd Year,Proficient (1-2 years),3,Sometimes,Sometimes (after completing a section),Rarely,3,No
12/4/2025 16:07:00,2nd Year,Elementary (3-6 months),4,"Yes, frequently",Frequently (after every small block),"Yes, definitely",2,Yes
